,serum,virus,replicate,concentration,fraction infectivity
0,K041,B.1.351-K484Q,1,0.04,4.61e-07
1,K041,B.1.351-K484Q,1,0.01333,0.002739
2,K041,B.1.351-K484Q,1,0.004444,0.0207
3,K041,B.1.351-K484Q,1,0.001481,0.2479
4,K041,B.1.351-K484Q,1,0.0004938,0.9689
5,K041,B.1.351-K484Q,1,0.0001646,1.171
6,K041,B.1.351-K484Q,1,5.487e-05,1.006
7,K041,B.1.351-K484Q,1,1.829e-05,0.9348
8,K041,B.1.351-K484Q,2,0.04,-1.014e-06
9,K041,B.1.351-K484Q,2,0.01333,0.002586
10,K041,B.1.351-K484Q,2,0.004444,0.02971
11,K041,B.1.351-K484Q,2,0.001481,0.2328
12,K041,B.1.351-K484Q,2,0.0004938,1.173
13,K041,B.1.351-K484Q,2,0.0001646,1.369
14,K041,B.1.351-K484Q,2,5.487e-05,1.106
15,K041,B.1.351-K484Q,2,1.829e-05,0.9871
16,K046,B.1.351-K484Q,1,0.04,0.0002771
17,K046,B.1.351-K484Q,1,0.01333,0.001626
18,K046,B.1.351-K484Q,1,0.004444,0.05737
19,K046,B.1.351-K484Q,1,0.001481,0.369
20,K046,B.1.351-K484Q,1,0.0004938,1.218
21,K046,B.1.351-K484Q,1,0.0001646,1.435
22,K046,B.1.351-K484Q,1,5.487e-05,1.137
23,K046,B.1.351-K484Q,1,1.829e-05,0.9889
24,K046,B.1.351-K484Q,2,0.04,0.001308
25,K046,B.1.351-K484Q,2,0.01333,0.007593
26,K046,B.1.351-K484Q,2,0.004444,0.0219
27,K046,B.1.351-K484Q,2,0.001481,0.3115
28,K046,B.1.351-K484Q,2,0.0004938,1.14
29,K046,B.1.351-K484Q,2,0.0001646,1.483
30,K046,B.1.351-K484Q,2,5.487e-05,1.109
31,K046,B.1.351-K484Q,2,1.829e-05,0.898
32,K114,B.1.351-K484Q,1,0.04,8.575e-06
33,K114,B.1.351-K484Q,1,0.01333,0.01384
34,K114,B.1.351-K484Q,1,0.004444,0.1566
35,K114,B.1.351-K484Q,1,0.001481,0.686
36,K114,B.1.351-K484Q,1,0.0004938,1.378
37,K114,B.1.351-K484Q,1,0.0001646,1.115
38,K114,B.1.351-K484Q,1,5.487e-05,0.9041
39,K114,B.1.351-K484Q,1,1.829e-05,0.8328
40,K114,B.1.351-K484Q,2,0.04,-9.128e-06
41,K114,B.1.351-K484Q,2,0.01333,0.004116
42,K114,B.1.351-K484Q,2,0.004444,0.1187
43,K114,B.1.351-K484Q,2,0.001481,0.7175
44,K114,B.1.351-K484Q,2,0.0004938,1.429
45,K114,B.1.351-K484Q,2,0.0001646,1.197
46,K114,B.1.351-K484Q,2,5.487e-05,0.9968
47,K114,B.1.351-K484Q,2,1.829e-05,0.9372
48,K119,B.1.351-K484Q,1,0.04,0.001825
49,K119,B.1.351-K484Q,1,0.01333,0.01295
50,K119,B.1.351-K484Q,1,0.004444,0.105
51,K119,B.1.351-K484Q,1,0.001481,0.4819
52,K119,B.1.351-K484Q,1,0.0004938,1.147
53,K119,B.1.351-K484Q,1,0.0001646,1.203
54,K119,B.1.351-K484Q,1,5.487e-05,1.036
55,K119,B.1.351-K484Q,1,1.829e-05,0.8676
56,K119,B.1.351-K484Q,2,0.04,0.0003258
57,K119,B.1.351-K484Q,2,0.01333,0.006524
58,K119,B.1.351-K484Q,2,0.004444,0.09299
59,K119,B.1.351-K484Q,2,0.001481,0.4727
60,K119,B.1.351-K484Q,2,0.0004938,1.174
61,K119,B.1.351-K484Q,2,0.0001646,1.219
62,K119,B.1.351-K484Q,2,5.487e-05,0.9892
63,K119,B.1.351-K484Q,2,1.829e-05,0.8645
64,K041,B.1.351,1,0.04,-2.424e-05
65,K041,B.1.351,1,0.01333,0.01587
66,K041,B.1.351,1,0.004444,0.0276
67,K041,B.1.351,1,0.001481,0.2106
68,K041,B.1.351,1,0.0004938,0.5799
69,K041,B.1.351,1,0.0001646,0.6901
70,K041,B.1.351,1,5.487e-05,0.9388
71,K041,B.1.351,1,1.829e-05,0.8814
72,K041,B.1.351,2,0.04,-3.543e-05
73,K041,B.1.351,2,0.01333,0.001788
74,K041,B.1.351,2,0.004444,0.02708
75,K041,B.1.351,2,0.001481,0.1618
76,K041,B.1.351,2,0.0004938,0.5468
77,K041,B.1.351,2,0.0001646,0.8569
78,K041,B.1.351,2,5.487e-05,1.083
79,K041,B.1.351,2,1.829e-05,0.8399
80,K046,B.1.351,1,0.04,-2.797e-05
81,K046,B.1.351,1,0.01333,0.005304
82,K046,B.1.351,1,0.004444,0.04551
83,K046,B.1.351,1,0.001481,0.1066
84,K046,B.1.351,1,0.0004938,0.5574
85,K046,B.1.351,1,0.0001646,0.6682
86,K046,B.1.351,1,5.487e-05,1.143
87,K046,B.1.351,1,1.829e-05,0.9529
88,K046,B.1.351,2,0.04,-1.305e-05
89,K046,B.1.351,2,0.01333,0.002804
90,K046,B.1.351,2,0.004444,0.02155
91,K046,B.1.351,2,0.001481,0.1597
92,K046,B.1.351,2,0.0004938,0.5289
93,K046,B.1.351,2,0.0001646,0.803
94,K046,B.1.351,2,5.487e-05,1.019
95,K046,B.1.351,2,1.829e-05,0.8925
96,K114,B.1.351,1,0.04,-3.17e-05
97,K114,B.1.351,1,0.01333,0.002699
98,K114,B.1.351,1,0.004444,0.07725
99,K114,B.1.351,1,0.001481,0.303
100,K114,B.1.351,1,0.0004938,0.818
101,K114,B.1.351,1,0.0001646,0.8933
102,K114,B.1.351,1,5.487e-05,0.9391
103,K114,B.1.351,1,1.829e-05,0.9426
104,K114,B.1.351,2,0.04,-2.424e-05
105,K114,B.1.351,2,0.01333,0.006338
106,K114,B.1.351,2,0.004444,0.03741
107,K114,B.1.351,2,0.001481,0.2356
108,K114,B.1.351,2,0.0004938,0.6776
109,K114,B.1.351,2,0.0001646,0.8236
110,K114,B.1.351,2,5.487e-05,0.8748
111,K114,B.1.351,2,1.829e-05,0.9163
112,K119,B.1.351,1,0.04,-2.797e-05
113,K119,B.1.351,1,0.01333,0.0003592
114,K119,B.1.351,1,0.004444,0.02238
115,K119,B.1.351,1,0.001481,0.1082
116,K119,B.1.351,1,0.0004938,0.3081
117,K119,B.1.351,1,0.0001646,0.5717
118,K119,B.1.351,1,5.487e-05,0.9556
119,K119,B.1.351,1,1.829e-05,0.9751
120,K119,B.1.351,2,0.04,4.661e-05
121,K119,B.1.351,2,0.01333,-3.151e-05
122,K119,B.1.351,2,0.004444,0.01816
123,K119,B.1.351,2,0.001481,0.1456
124,K119,B.1.351,2,0.0004938,0.3407
125,K119,B.1.351,2,0.0001646,0.6375
126,K119,B.1.351,2,5.487e-05,0.9426
127,K119,B.1.351,2,1.829e-05,0.8685
128,K007,B.1.351-K484Q,1,0.04,0.001718
129,K007,B.1.351-K484Q,1,0.01333,0.002897
130,K007,B.1.351-K484Q,1,0.004444,0.05838
131,K007,B.1.351-K484Q,1,0.001481,0.5105
132,K007,B.1.351-K484Q,1,0.0004938,1.106
133,K007,B.1.351-K484Q,1,0.0001646,1.134
134,K007,B.1.351-K484Q,1,5.487e-05,0.9345
135,K007,B.1.351-K484Q,1,1.829e-05,0.8446
136,K007,B.1.351-K484Q,2,0.04,9.674e-06
137,K007,B.1.351-K484Q,2,0.01333,0.005712
138,K007,B.1.351-K484Q,2,0.004444,0.0464
139,K007,B.1.351-K484Q,2,0.001481,0.3843
140,K007,B.1.351-K484Q,2,0.0004938,1.171
141,K007,B.1.351-K484Q,2,0.0001646,1.156
142,K007,B.1.351-K484Q,2,5.487e-05,0.9443
143,K007,B.1.351-K484Q,2,1.829e-05,0.934
144,K031,B.1.351-K484Q,1,0.04,0.002478
145,K031,B.1.351-K484Q,1,0.01333,0.02324
146,K031,B.1.351-K484Q,1,0.004444,0.07766
147,K031,B.1.351-K484Q,1,0.001481,0.3984
148,K031,B.1.351-K484Q,1,0.0004938,1.23
149,K031,B.1.351-K484Q,1,0.0001646,1.36
150,K031,B.1.351-K484Q,1,5.487e-05,0.9956
151,K031,B.1.351-K484Q,1,1.829e-05,0.8979
152,K031,B.1.351-K484Q,2,0.04,0.001033
153,K031,B.1.351-K484Q,2,0.01333,0.01261
154,K031,B.1.351-K484Q,2,0.004444,0.08291
155,K031,B.1.351-K484Q,2,0.001481,0.3104
156,K031,B.1.351-K484Q,2,0.0004938,1.221
157,K031,B.1.351-K484Q,2,0.0001646,1.304
158,K031,B.1.351-K484Q,2,5.487e-05,0.9656
159,K031,B.1.351-K484Q,2,1.829e-05,0.9874
160,K033,B.1.351-K484Q,1,0.04,-2.179e-06
161,K033,B.1.351-K484Q,1,0.01333,0.0002818
162,K033,B.1.351-K484Q,1,0.004444,0.01542
163,K033,B.1.351-K484Q,1,0.001481,0.1088
164,K033,B.1.351-K484Q,1,0.0004938,0.7475
165,K033,B.1.351-K484Q,1,0.0001646,1.301
166,K033,B.1.351-K484Q,1,5.487e-05,1.168
167,K033,B.1.351-K484Q,1,1.829e-05,0.9153
168,K033,B.1.351-K484Q,2,0.04,4.096e-06
169,K033,B.1.351-K484Q,2,0.01333,0.001222
170,K033,B.1.351-K484Q,2,0.004444,0.0161
171,K033,B.1.351-K484Q,2,0.001481,0.1007
172,K033,B.1.351-K484Q,2,0.0004938,0.7429
173,K033,B.1.351-K484Q,2,0.0001646,1.309
174,K033,B.1.351-K484Q,2,5.487e-05,1.259
175,K033,B.1.351-K484Q,2,1.829e-05,1.052
176,K040,B.1.351-K484Q,1,0.04,2.92e-05
177,K040,B.1.351-K484Q,1,0.01333,-1.005e-05
178,K040,B.1.351-K484Q,1,0.004444,0.03243
179,K040,B.1.351-K484Q,1,0.001481,0.2071
180,K040,B.1.351-K484Q,1,0.0004938,0.8129
181,K040,B.1.351-K484Q,1,0.0001646,1.296
182,K040,B.1.351-K484Q,1,5.487e-05,0.9346
183,K040,B.1.351-K484Q,1,1.829e-05,0.9793
184,K040,B.1.351-K484Q,2,0.04,-7.06e-06
185,K040,B.1.351-K484Q,2,0.01333,0.002316
186,K040,B.1.351-K484Q,2,0.004444,0.05463
187,K040,B.1.351-K484Q,2,0.001481,0.2618
188,K040,B.1.351-K484Q,2,0.0004938,0.9496
189,K040,B.1.351-K484Q,2,0.0001646,1.241
190,K040,B.1.351-K484Q,2,5.487e-05,0.9233
191,K040,B.1.351-K484Q,2,1.829e-05,0.8742
192,K007,B.1.351,1,0.04,2.748e-06
193,K007,B.1.351,1,0.01333,0.01294
194,K007,B.1.351,1,0.004444,0.02008
195,K007,B.1.351,1,0.001481,0.1293
196,K007,B.1.351,1,0.0004938,0.5777
197,K007,B.1.351,1,0.0001646,0.8277
198,K007,B.1.351,1,5.487e-05,0.9829
199,K007,B.1.351,1,1.829e-05,0.9439
200,K007,B.1.351,2,0.04,-1.295e-05
201,K007,B.1.351,2,0.01333,0.001187
202,K007,B.1.351,2,0.004444,0.0306
203,K007,B.1.351,2,0.001481,0.1028
204,K007,B.1.351,2,0.0004938,0.508
205,K007,B.1.351,2,0.0001646,0.9394
206,K007,B.1.351,2,5.487e-05,1.163
207,K007,B.1.351,2,1.829e-05,0.9702
